protein_id	DePP_85	PhageRBPdetect	DepoScope	DepoRanker	SpikeHunter	dbCAN	IPR	phold_glycan_tailspike	total_sources
GCF_904863425.1__phage13__2944	1	1	1	1	1	1	1	1	8
GCF_002903005.1__phage22__4780	1	1	1	1	1	1	1	1	8
GCF_900509035.1__phage17__88	1	1	1	1	1	1	1	1	8
GCF_014856365.1__phage26__49	1	1	1	1	1	1	1	1	8
GCF_900502245.1__phage6__383	1	1	1	1	1	1	1	1	8
GCF_013782105.1__phage4__1740	1	1	1	1	1	1	1	1	8
GCF_019703085.1__phage8__3172	1	1	1	1	1	1	1	1	8
GCF_020830225.1__phage7__3	1	1	1	1	1	1	1	1	8
GCF_006130375.1__phage1__172	1	1	1	1	1	1	1	1	8
GCF_900508335.1__phage14__0	1	1	1	1	1	1	1	1	8
GCF_010183705.1__phage2__679	1	1	1	1	1	1	1	1	8
GCF_916172585.1__phage6__17	1	1	1	1	1	1	1	1	8
GCF_004312205.1__phage0__4	1	1	1	1	1	1	1	1	8
GCF_900517475.1__phage10__0	1	1	1	1	1	1	1	1	8
GCF_019928485.1__phage7__240	1	1	1	1	1	1	1	1	8
GCF_002775495.1__phage10__3	1	1	1	1	1	1	1	1	8
GCF_001052035.1__phage3__29	1	1	1	1	1	1	1	1	8
GCF_011365755.1__phage2__1092	1	1	1	1	1	1	1	1	8
GCF_000784985.1__phage4__1840	1	1	1	1	1	1	1	1	8
GCF_017597225.1__phage3__419	1	1	1	1	1	1	1	1	8
GCF_001874695.1__phage8__2823	1	1	1	1	1	1	1	1	8
GCF_900461375.1__phage0__551	1	1	1	1	1	1	1	1	8
GCF_902156975.1__phage16__482	1	1	1	1	1	1	1	1	8
GCF_016643775.1__phage2__182	1	1	1	1	1	1	1	1	8
GCF_015774895.1__phage5__2806	1	1	1	1	1	1	1	1	8
GCF_021502945.1__phage4__1389	1	1	1	1	1	1	1	1	8
GCF_003861575.1__phage3__452	1	1	1	1	1	1	1	1	8
GCF_001718175.1__phage9__238	1	1	1	1	1	1	1	1	8
GCF_013623365.1__phage15__48	1	1	1	1	1	1	1	1	8
GCF_900517035.1__phage15__60	1	1	1	1	1	1	1	1	8
GCF_001457335.1__phage1__233	1	1	1	1	1	1	1	1	8
GCF_013707355.1__phage10__1868	1	1	1	1	1	1	1	1	8
GCF_021229915.1__phage6__3213	1	1	1	1	1	1	1	1	8
GCF_015285825.1__phage1__96	1	1	1	1	1	1	1	1	8
GCF_002740845.1__phage22__558	1	1	1	1	1	1	1	1	8
GCF_003020825.1__phage4__1701	1	1	1	1	1	1	1	1	8
GCF_004313445.1__phage1__424	1	1	1	1	1	1	1	1	8
GCF_018137595.1__phage14__228	1	1	1	1	1	1	1	1	8
GCF_002903025.1__phage9__2431	1	1	1	1	1	1	1	1	8
GCF_000688175.1__phage8__2	1	1	1	1	1	1	1	1	8
GCF_021518275.1__phage18__25	1	1	1	1	1	1	1	1	8
GCF_003261795.1__phage12__0	1	1	1	1	1	1	1	1	8
GCF_003403275.1__phage5__0	1	1	1	1	1	1	1	1	8
GCF_002416695.1__phage5__0	1	1	1	1	1	1	1	1	8
GCF_003037395.1__phage28__164	1	1	1	1	1	1	1	1	8
GCF_003146655.1__phage1__592	1	1	1	1	1	1	1	1	8
GCF_018449065.1__phage15__3888	1	1	1	1	1	1	1	1	8
GCF_900509795.1__phage5__1534	1	1	1	1	1	1	1	1	8
GCF_002248085.2__phage10__1506	1	1	1	1	1	1	1	1	8
GCF_014489395.1__phage3__1201	1	1	1	1	1	1	1	1	8
GCF_008867615.1__phage19__74	1	1	1	1	1	1	1	1	8
GCF_003861575.1__phage2__263	1	1	1	1	1	1	1	1	8
GCF_004311045.1__phage1__771	1	1	1	1	1	1	1	1	8
GCF_014531815.1__phage27__14	1	1	1	1	1	1	1	1	8
GCF_900503035.1__phage8__98	1	1	1	1	1	1	1	1	8
GCF_016056235.1__phage17__220	1	1	1	1	1	1	1	1	8
GCF_002850915.1__phage3__0	1	1	1	1	1	1	1	1	8
GCF_900508795.1__phage12__118	1	1	1	1	1	1	1	1	8
GCF_016595605.1__phage35__2990	1	1	1	1	1	1	1	1	8
GCF_900513115.1__phage5__1450	1	1	1	1	1	1	1	1	8
GCF_002740845.1__phage22__554	1	1	1	1	1	1	1	1	8
GCF_900511145.1__phage10__381	1	1	1	1	1	1	1	1	8
GCF_013731735.1__phage17__3288	1	1	1	1	1	1	1	1	8
GCF_003196265.1__phage3__147	1	1	1	1	1	1	1	1	8
GCF_002936615.2__phage12__45	1	1	1	1	1	1	1	1	8
GCF_003036575.1__phage13__0	1	1	1	1	1	1	1	1	8
GCF_900514105.1__phage15__327	1	1	1	1	1	1	1	1	8
GCF_019927765.1__phage4__0	1	1	1	1	1	1	1	1	8
GCF_019401875.1__phage14__178	1	1	1	1	1	1	1	1	8
GCF_900506495.1__phage22__295	1	1	1	1	1	1	1	1	8
GCF_003196665.1__phage5__899	1	1	1	1	1	1	1	1	8
GCF_002812665.1__phage13__3356	1	1	1	1	1	1	1	1	8
GCF_009925305.1__phage2__44	1	1	1	1	1	1	1	1	8
GCF_900515275.1__phage4__227	1	1	1	1	1	1	1	1	8
GCF_015135515.1__phage11__2770	1	1	1	1	1	1	1	1	8
GCF_019877525.1__phage18__86	1	1	1	1	1	1	1	1	8
GCF_016745865.1__phage27__0	1	1	1	1	1	1	1	1	8
GCF_001938605.1__phage19__506	1	1	1	1	1	1	1	1	8
GCF_904866555.1__phage10__2515	1	1	1	1	1	1	1	1	8
GCF_900516955.1__phage5__0	1	1	1	1	1	1	1	1	8
GCF_012030295.1__phage22__0	1	1	1	1	1	1	1	1	8
GCF_900087895.1__phage16__1226	1	1	1	1	1	1	1	1	8
GCF_003036575.1__phage6__0	1	1	1	1	1	1	1	1	8
GCF_904866205.1__phage4__2983	1	1	1	1	1	1	1	1	8
GCF_003195315.1__phage1__87	1	1	1	1	1	1	1	1	8
GCF_013736155.1__phage10__3777	1	1	1	1	1	1	1	1	8
GCF_901563875.1__phage8__46	1	1	1	1	1	1	1	1	8
GCF_009797845.1__phage25__251	1	1	1	1	1	1	1	1	8
GCF_015208935.1__phage6__92	1	1	1	1	1	1	1	1	8
GCF_018138445.1__phage1__607	1	1	1	1	1	1	1	1	8
GCF_014287145.1__phage8__105	1	1	1	1	1	1	1	1	8
GCF_900501705.1__phage13__24	1	1	1	1	1	1	1	1	8
GCF_002740845.1__phage2__15	1	1	1	1	1	1	1	1	8
GCF_900507585.1__phage1__163	1	1	1	1	1	1	1	1	8
GCF_900516955.1__phage4__730	1	1	1	1	1	1	1	1	8
GCF_020251705.1__phage3__68	1	1	1	1	1	1	1	1	8
GCF_018108585.1__phage3__1	1	1	1	1	1	1	1	1	8
GCF_002775175.1__phage20__83	1	1	1	1	1	1	1	1	8
GCF_902160725.1__phage20__5	1	1	1	1	1	1	1	1	8
GCF_016903875.1__phage1__828	1	1	1	1	1	1	1	1	8
GCF_900510745.1__phage0__21	1	1	1	1	1	1	1	1	8
GCF_014526215.1__phage6__8	1	1	1	1	1	1	1	1	8
GCF_015138775.1__phage5__3093	1	1	1	1	1	1	1	1	8
GCF_901421105.1__phage25__4542	1	1	1	1	1	1	1	1	8
GCF_900507815.1__phage10__373	1	1	1	1	1	1	1	1	8
GCF_016651625.1__phage29__137	1	1	1	1	1	1	1	1	8
GCF_004313505.1__phage0__12	1	1	1	1	1	1	1	1	8
GCF_004832475.1__phage24__161	1	1	1	1	1	1	1	1	8
GCF_021136485.1__phage6__15	1	1	1	1	1	1	1	1	8
GCF_013603495.1__phage2__38	1	1	1	1	1	1	1	1	8
GCF_008083005.1__phage7__47	1	1	1	1	1	1	1	1	8
GCF_002636375.1__phage6__1430	1	1	1	1	1	1	1	1	8
GCF_002180975.1__phage14__176	1	1	1	1	1	1	1	1	8
GCF_003065025.1__phage7__107	1	1	1	1	1	1	1	1	8
GCF_900513595.1__phage17__565	1	1	1	1	1	1	1	1	8
GCF_019286695.1__phage6__1854	1	1	1	1	1	1	1	1	8
GCF_001902945.4__phage7__57	1	1	1	1	1	1	1	1	8
GCF_002853675.1__phage2__317	1	1	1	1	1	1	1	1	8
GCF_900513915.1__phage1__10	1	1	1	1	1	1	1	1	8
GCF_002853475.2__phage9__1760	1	1	1	1	1	1	1	1	8
GCF_013170325.1__phage0__0	1	1	1	1	1	1	1	1	8
GCF_013170325.1__phage6__12	1	1	1	1	1	1	1	1	8
GCF_020169195.1__phage19__130	1	1	1	1	1	1	1	1	8
GCF_020169195.1__phage3__5	1	1	1	1	1	1	1	1	8
GCF_003598825.1__phage4__0	1	1	1	1	1	1	1	1	8
GCF_002156785.1__phage11__3615	1	1	1	1	1	1	1	1	8
GCF_002854135.1__phage8__143	1	1	1	1	1	1	1	1	8
GCF_003073335.1__phage15__4477	1	1	1	1	1	1	1	1	8
GCF_900977535.1__phage6__32	1	1	1	1	1	1	1	1	8
GCF_002854375.1__phage24__7	1	1	1	1	1	1	1	1	8
GCF_002854375.1__phage6__142	1	1	1	1	1	1	1	1	8
GCF_905127605.1__phage2__2	1	1	1	1	1	1	1	1	8
GCF_015278455.1__phage4__1627	1	1	1	1	1	1	1	1	8
GCF_020172745.1__phage5__1428	1	1	1	1	1	1	1	1	8
GCF_021474765.1__phage12__4	1	1	1	1	1	1	1	1	8
GCF_021474765.1__phage18__207	1	1	1	1	1	1	1	1	8
GCF_900503405.1__phage24__61	1	1	1	1	1	1	1	1	8
GCF_021533695.1__phage7__5	1	1	1	1	1	1	1	1	8
GCF_004802835.1__phage11__60	1	1	1	1	1	1	1	1	8
GCF_004313085.1__phage15__74	1	1	1	1	1	1	1	1	8
GCF_900509575.1__phage4__749	1	1	1	1	1	1	1	1	8
GCF_021532675.1__phage13__79	1	1	1	1	1	1	1	1	8
GCF_004313405.1__phage2__69	1	1	1	1	1	1	1	1	8
GCF_018449265.1__phage5__65	1	1	1	1	1	1	1	1	8
GCF_019732505.1__phage9__146	1	1	1	1	1	1	1	1	8
GCF_019732505.1__phage0__4	1	1	1	1	1	1	1	1	8
GCF_002854855.1__phage4__48	1	1	1	1	1	1	1	1	8
GCF_900503145.1__phage13__498	1	1	1	1	1	1	1	1	8
GCF_004311765.1__phage11__38	1	1	1	1	1	1	1	1	8
GCF_002811365.1__phage9__269	1	1	1	1	1	1	1	1	8
GCF_001931705.1__phage2__32	1	1	1	1	1	1	1	1	8
GCF_900517415.1__phage6__989	1	1	1	1	1	1	1	1	8
GCF_002187095.1__phage20__1	1	1	1	1	1	1	1	1	8
GCF_900505985.1__phage14__311	1	1	1	1	1	1	1	1	8
GCF_001884425.1__phage4__4	1	1	1	1	1	1	1	1	8
GCF_003955165.1__phage1__476	1	1	1	1	1	1	1	1	8
GCF_900508325.1__phage3__301	1	1	1	1	1	1	1	1	8
GCF_016528205.1__phage18__205	1	1	1	1	1	1	1	1	8
GCF_016544565.1__phage1__31	1	1	1	1	1	1	1	1	8
GCF_900508455.1__phage23__28	1	1	1	1	1	1	1	1	8
GCF_900517085.1__phage9__170	1	1	1	1	1	1	1	1	8
GCF_019661115.1__phage10__5	1	1	1	1	1	1	1	1	8
GCF_900517455.1__phage21__113	1	1	1	1	1	1	1	1	8
GCF_003954715.1__phage11__6	1	1	1	1	1	1	1	1	8
GCF_003037615.2__phage9__1656	1	1	1	1	1	1	1	1	8
GCF_015278075.1__phage1__341	1	1	1	1	1	1	1	1	8
GCF_018068705.1__phage2__570	1	1	1	1	1	1	1	1	8
GCF_019900765.1__phage1__2720	1	1	1	1	1	1	1	1	8
GCF_900978035.1__phage23__3780	1	1	1	1	1	1	1	1	8
GCF_002187895.1__phage11__343	1	1	1	1	1	1	1	1	8
GCF_009885015.1__phage3__390	1	1	1	1	1	1	1	1	8
GCF_900502995.1__phage15__75	1	1	1	1	1	1	1	1	8
GCF_004127625.1__phage19__97	1	1	1	1	1	1	1	1	8
GCF_900512775.1__phage30__0	1	1	1	1	1	1	1	1	8
GCF_900511455.1__phage5__538	1	1	1	1	1	1	1	1	8
GCF_008923165.1__phage6__212	1	1	1	1	1	1	1	1	8
GCF_008923165.1__phage3__1873	1	1	1	1	1	1	1	1	8
GCF_012167215.1__phage8__3709	1	1	1	1	1	1	1	1	8
GCF_900516075.1__phage3__209	1	1	1	1	1	1	1	1	8
GCF_900510365.1__phage15__10	1	1	1	1	1	1	1	1	8
GCF_018920475.1__phage6__250	1	1	1	1	1	1	1	1	8
GCF_020479005.1__phage13__14	1	1	1	1	1	1	1	1	8
GCF_900511415.1__phage15__174	1	1	1	1	1	1	1	1	8
GCF_017742935.1__phage7__2435	1	1	1	1	1	1	1	1	8
GCF_014451185.1__phage13__48	1	1	1	1	1	1	1	1	8
GCF_014451185.1__phage19__0	1	1	1	1	1	1	1	1	8
GCF_902162525.1__phage15__80	1	1	1	1	1	1	1	1	8
GCF_020407065.1__phage0__9	1	1	1	1	1	1	1	1	8
GCF_019433875.1__phage10__0	1	1	1	1	1	1	1	1	8
GCF_011037275.1__phage14__65	1	1	1	1	1	1	1	1	8
GCF_902155985.1__phage4__1830	1	1	1	1	1	1	1	1	8
GCF_015265985.1__phage21__0	1	1	1	1	1	1	1	1	8
GCF_000585935.1__phage14__0	1	1	1	1	1	1	1	1	8
GCF_002795485.1__phage13__0	1	1	1	1	1	1	1	1	8
GCF_016772975.1__phage11__2994	1	1	1	1	1	1	1	1	8
GCF_016772975.1__phage13__4169	1	1	1	1	1	1	1	1	8
GCF_016772975.1__phage13__4179	1	1	1	1	1	1	1	1	8
GCF_016772975.1__phage9__2573	1	1	1	1	1	1	1	1	8
GCF_009710765.1__phage10__64	1	1	1	1	1	1	1	1	8
GCF_009710765.1__phage6__80	1	1	1	1	1	1	1	1	8
GCF_009710765.1__phage17__0	1	1	1	1	1	1	1	1	8
GCF_900506645.1__phage3__31	1	1	1	1	1	1	1	1	8
GCF_004312685.1__phage1__1232	1	1	1	1	1	1	1	1	8
GCF_900509615.1__phage8__1276	1	1	1	1	1	1	1	1	8
GCF_900509615.1__phage16__595	1	1	1	1	1	1	1	1	8
GCF_002187385.1__phage18__119	1	1	1	1	1	1	1	1	8
GCF_002852945.3__phage20__137	1	1	1	1	1	1	1	1	8
GCF_900079675.1__phage8__309	1	1	1	1	1	1	1	1	8
GCF_015264225.1__phage14__5	1	1	1	1	1	1	1	1	8
GCF_007197815.1__phage9__4585	1	1	1	1	1	1	1	1	8
GCF_002587885.1__phage10__3060	1	1	1	1	1	1	1	1	8
GCF_003173515.1__phage11__150	1	1	1	1	1	1	1	1	8
GCF_001006545.1__phage6__16	1	1	1	1	1	1	1	1	8
GCF_012271775.1__phage10__24	1	1	1	1	1	1	1	1	8
GCF_015721265.1__phage3__131	1	1	1	1	1	1	1	1	8
GCF_013604405.1__phage17__111	1	1	1	1	1	1	1	1	8
GCF_004312005.1__phage22__0	1	1	1	1	1	1	1	1	8
GCF_900501075.1__phage0__137	1	1	1	1	1	1	1	1	8
GCF_002906415.1__phage3__421	1	1	1	1	1	1	1	1	8
GCF_019679375.1__phage15__293	1	1	1	1	1	1	1	1	8
GCF_021137655.1__phage11__3734	1	1	1	1	1	1	1	1	8
GCF_900509035.1__phage2__225	1	1	1	1	1	1	1	1	8
GCF_014530465.1__phage14__32	1	1	1	1	1	1	1	1	8
GCF_021136355.1__phage26__343	1	1	1	1	1	1	1	1	8
GCF_021136355.1__phage8__417	1	1	1	1	1	1	1	1	8
GCF_004310675.1__phage21__5	1	1	1	1	1	1	1	1	8
GCF_004313705.1__phage5__192	1	1	1	1	1	1	1	1	8
GCF_018137755.1__phage14__10	1	1	1	1	1	1	1	1	8
GCF_900501415.1__phage9__120	1	1	1	1	1	1	1	1	8
GCF_019837125.1__phage11__40	1	1	1	1	1	1	1	1	8
GCF_009600615.1__phage6__1676	1	1	1	1	1	1	1	1	8
GCF_916172955.1__phage9__30	1	1	1	1	1	1	1	1	8
GCF_916172955.1__phage5__42	1	1	1	1	1	1	1	1	8
GCF_000612905.1__phage6__4	1	1	1	1	1	1	1	1	8
GCF_019930265.1__phage5__2	1	1	1	1	1	1	1	1	8
GCF_015291925.1__phage3__1000	1	1	1	1	1	1	1	1	8
GCF_021261935.1__phage3__132	1	1	1	1	1	1	1	1	8
GCF_003413505.1__phage17__3711	1	1	1	1	1	1	1	1	8
GCF_002935135.2__phage0__6	1	1	1	1	1	1	1	1	8
GCF_900503715.1__phage14__167	1	1	1	1	1	1	1	1	8
GCF_018108965.1__phage3__3	1	1	1	1	1	1	1	1	8
GCF_900511305.1__phage2__77	1	1	1	1	1	1	1	1	8
GCF_018274725.1__phage7__920	1	1	1	1	1	1	1	1	8
GCF_020819535.1__phage8__2	1	1	1	1	1	1	1	1	8
GCF_020819535.1__phage1__12	1	1	1	1	1	1	1	1	8
GCF_013706045.1__phage4__2002	1	1	1	1	1	1	1	1	8
GCF_013706045.1__phage5__2354	1	1	1	1	1	1	1	1	8
GCF_002886595.1__phage9__321	1	1	1	1	1	1	1	1	8
GCF_000783515.2__phage8__177	1	1	1	1	1	1	1	1	8
GCF_900498635.1__phage4__69	1	1	1	1	1	1	1	1	8
GCF_021395815.1__phage1__60	1	1	1	1	1	1	1	1	8
GCF_900501695.1__phage1__660	1	1	1	1	1	1	1	1	8
GCF_900504005.1__phage0__1	1	1	1	1	1	1	1	1	8
GCF_002182125.1__phage7__126	1	1	1	1	1	1	1	1	8
GCF_900506445.1__phage7__4	1	1	1	1	1	1	1	1	8
GCF_017942485.1__phage24__123	1	1	1	1	1	1	1	1	8
GCF_017942485.1__phage23__311	1	1	1	1	1	1	1	1	8
GCF_019795005.1__phage11__0	1	1	1	1	1	1	1	1	8
GCF_900508305.1__phage6__0	1	1	1	1	1	1	1	1	8
GCF_018474035.1__phage1__37	1	1	1	1	1	1	1	1	8
GCF_014895605.1__phage5__6	1	1	1	1	1	1	1	1	8
GCF_013590775.1__phage4__1335	1	1	1	1	1	1	1	1	8
GCF_001463125.1__phage25__170	1	1	1	1	1	1	1	1	8
GCF_019165925.1__phage6__235	1	1	1	1	1	1	1	1	8
GCF_003065055.1__phage21__66	1	1	1	1	1	1	1	1	8
GCF_000783895.2__phage21__2826	1	1	1	1	1	1	1	1	8
GCF_021229875.1__phage5__1770	1	1	1	1	1	1	1	1	8
GCF_009648975.1__phage0__1195	1	1	1	1	1	1	1	1	8
GCF_001006575.1__phage0__5	1	1	1	1	1	1	1	1	8
GCF_001066585.1__phage14__23	1	1	1	1	1	1	1	1	8
GCF_900506635.1__phage0__6	1	1	1	1	1	1	1	1	8
GCF_015287425.1__phage9__4365	1	1	1	1	1	1	1	1	8
GCF_002192375.1__phage1__438	1	1	1	1	1	1	1	1	8
GCF_009755705.1__phage15__3954	1	1	1	1	1	1	1	1	8
GCF_900511045.1__phage20__77	1	1	1	1	1	1	1	1	8
GCF_900451895.1__phage40__5030	1	1	1	1	1	1	1	1	8
GCF_900451895.1__phage38__4713	1	1	1	1	1	1	1	1	8
GCF_900451895.1__phage18__662	1	1	1	1	1	1	1	1	8
GCF_900504695.1__phage4__183	1	1	1	1	1	1	1	1	8
GCF_900502575.1__phage6__257	1	1	1	1	1	1	1	1	8
GCF_904864445.1__phage21__65	1	1	1	1	1	1	1	1	8
GCF_900503205.1__phage7__43	1	1	1	1	1	1	1	1	8
GCF_009898155.1__phage15__13	1	1	1	1	1	1	1	1	8
GCF_002411715.1__phage1__0	1	1	1	1	1	1	1	1	8
GCF_002249535.1__phage2__153	1	1	1	1	1	1	1	1	8
GCF_003062495.1__phage4__170	1	1	1	1	1	1	1	1	8
GCF_002936875.2__phage0__189	1	1	1	1	1	1	1	1	8
GCF_900510315.1__phage23__63	1	1	1	1	1	1	1	1	8
GCF_900510315.1__phage8__51	1	1	1	1	1	1	1	1	8
GCF_900509525.1__phage4__1623	1	1	1	1	1	1	1	1	8
GCF_002854955.1__phage17__60	1	1	1	1	1	1	1	1	8
GCF_014842805.1__phage1__246	1	1	1	1	1	1	1	1	8
GCF_004830265.1__phage12__0	1	1	1	1	1	1	1	1	8
GCF_001060105.1__phage6__87	1	1	1	1	1	1	1	1	8
GCF_021373335.1__phage0__565	1	1	1	1	1	1	1	1	8
GCF_013734595.1__phage12__3071	1	1	1	1	1	1	1	1	8
GCF_013734595.1__phage17__3702	1	1	1	1	1	1	1	1	8
GCF_016055605.1__phage13__28	1	1	1	1	1	1	1	1	8
GCF_019249315.1__phage20__63	1	1	1	1	1	1	1	1	8
GCF_018789905.1__phage0__275	1	1	1	1	1	1	1	1	8
GCF_018789905.1__phage5__1	1	1	1	1	1	1	1	1	8
GCF_003227475.1__phage16__480	1	1	1	1	1	1	1	1	8
GCF_900507245.1__phage9__947	1	1	1	1	1	1	1	1	8
GCF_900508355.1__phage11__0	1	1	1	1	1	1	1	1	8
GCF_900517205.1__phage7__38	1	1	1	1	1	1	1	1	8
GCF_900498335.1__phage6__250	1	1	1	1	1	1	1	1	8
GCF_014889515.1__phage12__57	1	1	1	1	1	1	1	1	8
GCF_019455345.1__phage11__3989	1	1	1	1	1	1	1	1	8
GCF_004311705.1__phage0__1	1	1	1	1	1	1	1	1	8
GCF_900512395.1__phage16__117	1	1	1	1	1	1	1	1	8
GCF_019928285.1__phage9__25	1	1	1	1	1	1	1	1	8
GCF_013811445.1__phage16__234	1	1	1	1	1	1	1	1	8
GCF_013811445.1__phage16__231	1	1	1	1	1	1	1	1	8
GCF_002188175.1__phage18__87	1	1	1	1	1	1	1	1	8
GCF_003590255.1__phage31__19	1	1	1	1	1	1	1	1	8
GCF_001530015.1__phage6__3190	1	1	1	1	1	1	1	1	8
GCF_003037395.1__phage28__167	1	1	1	1	1	1	1	1	8
GCF_009930995.1__phage14__4639	1	1	1	1	1	1	1	1	8
GCF_000735215.1__phage15__28	1	1	1	1	1	1	1	1	8
GCF_002173955.1__phage4__4	1	1	1	1	1	1	1	1	8
GCF_018279325.1__phage9__1916	1	1	1	1	1	1	1	1	8
GCF_900509325.1__phage2__8	1	1	1	1	1	1	1	1	8
GCF_021137095.1__phage13__404	1	1	1	1	1	1	1	1	8
GCF_016587495.1__phage4__1227	1	1	1	1	1	1	1	1	8
GCF_016527535.1__phage9__295	1	1	1	1	1	1	1	1	8
GCF_002854085.1__phage8__41	1	1	1	1	1	1	1	1	8
GCF_922826965.1__phage7__4062	1	1	1	1	1	1	1	1	8
GCF_005047295.1__phage0__0	1	1	1	1	1	1	1	1	8
GCF_001061725.1__phage1__3	1	1	1	1	1	1	1	1	8
GCF_001952895.1__phage13__2934	1	1	1	1	1	1	1	1	8
GCF_003195995.1__phage16__178	1	1	1	1	1	1	1	1	8
GCF_019877855.1__phage19__2	1	1	1	1	1	1	1	1	8
GCF_002184825.2__phage15__29	1	1	1	1	1	1	1	1	8
GCF_016904295.1__phage3__256	1	1	1	1	1	1	1	1	8
GCF_003195515.1__phage16__105	1	1	1	1	1	1	1	1	8
GCF_904863345.1__phage7__3267	1	1	1	1	1	1	1	1	8
GCF_904863345.1__phage8__3921	1	1	1	1	1	1	1	1	8
GCF_900515275.1__phage15__1306	1	1	1	1	1	1	1	1	8
GCF_900515275.1__phage16__457	1	1	1	1	1	1	1	1	8
GCF_900501935.1__phage6__9	1	1	1	1	1	1	1	1	8
GCF_015719235.1__phage9__6	1	1	1	1	1	1	1	1	8
GCF_002187805.1__phage10__1	1	1	1	1	1	1	1	1	8
GCF_900501055.1__phage6__390	1	1	1	1	1	1	1	1	8
GCF_014856335.1__phage8__34	1	1	1	1	1	1	1	1	8
GCF_904863425.1__phage13__2941	1	1	1	1	1	1	1	1	8
GCF_013376555.1__phage13__3819	1	1	1	1	1	1	1	1	8
GCF_016904035.1__phage6__3983	1	1	1	1	1	1	1	1	8
GCF_900508685.1__phage12__9	1	1	1	1	1	1	1	1	8
GCF_900707015.1__phage3__416	1	1	1	1	1	1	1	1	8
GCF_002187855.1__phage0__0	1	1	1	1	1	1	1	1	8
GCF_008120085.1__phage0__298	1	1	1	1	1	1	1	1	8
GCF_021228755.1__phage3__663	1	1	1	1	1	1	1	1	8
GCF_003408615.1__phage0__352	1	1	1	1	1	1	1	1	8
GCF_003335065.1__phage21__10	1	1	1	1	1	1	1	1	8
GCF_004310985.1__phage3__1642	1	1	1	1	1	1	1	1	8
GCF_013604185.1__phage3__82	1	1	1	1	1	1	1	1	8
GCF_019042755.1__phage19__7	1	1	1	1	1	1	1	1	8
GCF_003057485.1__phage10__6	1	1	1	1	1	1	1	1	8
GCF_901420755.1__phage15__66	1	1	1	1	1	1	1	1	8
GCF_002587165.1__phage21__0	1	1	1	1	1	1	1	1	8
GCF_900501405.1__phage4__171	1	1	1	1	1	1	1	1	8
GCF_900509205.1__phage3__621	1	1	1	1	1	1	1	1	8
GCF_009710085.1__phage10__0	1	1	1	1	1	1	1	1	8
GCF_003861425.1__phage6__1389	1	1	1	1	1	1	1	1	8
GCF_001038365.1__phage11__124	1	1	1	1	1	1	1	1	8
GCF_001038365.1__phage6__0	1	1	1	1	1	1	1	1	8
