dataset	phage_id	k_only_rank	o_only_rank	merged_rank	k_hit@1	o_hit@1	merged_hit@1	or_hit@1
PBIP	PHKP9828_A1	1	1	1	1	1	1	1
PBIP	PHKP9850_C1	1	1	1	1	1	1	1
PBIP	PHKP9947-AB1	1	1	1	1	1	1	1
PBIP	PHKP9947-AS1	1	1	1	1	1	1	1
PBIP	PHKP9947-B1	1	1	1	1	1	1	1
PhageHostLearn	A1a	106	86	129	0	0	0	0
PhageHostLearn	A1b	4	75	4	0	0	0	0
PhageHostLearn	A1c	1	1	1	1	1	1	1
PhageHostLearn	A1d	9	66	66	0	0	0	0
PhageHostLearn	A1g	46	22	26	0	0	0	0
PhageHostLearn	A1h	40	1	5	0	1	0	1
PhageHostLearn	A1i	54	104	118	0	0	0	0
PhageHostLearn	A1j	68	68	68	0	0	0	0
PhageHostLearn	A1k	1	25	1	1	0	1	1
PhageHostLearn	A1l	70	17	18	0	0	0	0
PhageHostLearn	A1m	1	39	1	1	0	1	1
PhageHostLearn	A1n	49	17	18	0	0	0	0
PhageHostLearn	A1o	1	47	1	1	0	1	1
PhageHostLearn	A1p	49	17	18	0	0	0	0
PhageHostLearn	A1q	1	1	1	1	1	1	1
PhageHostLearn	A1r	1	25	1	1	0	1	1
PhageHostLearn	A2a	134	35	42	0	0	0	0
PhageHostLearn	A2a_b	131	35	42	0	0	0	0
PhageHostLearn	A2b	105	35	43	0	0	0	0
PhageHostLearn	A3b	4	11	4	0	0	0	0
PhageHostLearn	A3c	102	80	81	0	0	0	0
PhageHostLearn	A3d	95	80	82	0	0	0	0
PhageHostLearn	D7a	16	123	113	0	0	0	0
PhageHostLearn	D7b	1	28	1	1	0	1	1
PhageHostLearn	K10PH82C1	3	9	10	0	0	0	0
PhageHostLearn	K11PH164C1	9	27	27	0	0	0	0
PhageHostLearn	K12P1_1	47	21	48	0	0	0	0
PhageHostLearn	K13PH07C1L	10	19	20	0	0	0	0
PhageHostLearn	K13PH07C1S	9	19	20	0	0	0	0
PhageHostLearn	K14PH164C1	3	7	8	0	0	0	0
PhageHostLearn	K15PH90		1	2	0	1	0	1
PhageHostLearn	K16PH164C3	30	1	2	0	1	0	1
PhageHostLearn	K17alfa61	21	36	38	0	0	0	0
PhageHostLearn	K17alfa62	1	2	1	1	0	1	1
PhageHostLearn	K18PH07C1	5	5	5	0	0	0	0
PhageHostLearn	K1PH164C1	1	6	1	1	0	1	1
PhageHostLearn	K2064PH2	1	4	1	1	0	1	1
PhageHostLearn	K2069PH1	1	4	1	1	0	1	1
PhageHostLearn	K21lambda1				0	0	0	0
PhageHostLearn	K23PH08C2	1	10	1	1	0	1	1
PhageHostLearn	K25PH129C1	1	34	1	1	0	1	1
PhageHostLearn	K27PH129C1				0	0	0	0
PhageHostLearn	K28PH129				0	0	0	0
PhageHostLearn	K29PH164C1	8	24	27	0	0	0	0
PhageHostLearn	K2PH164C1	3	43	24	0	0	0	0
PhageHostLearn	K2PH164C2	18	1	2	0	1	0	1
PhageHostLearn	K2alfa62	1	5	5	1	0	0	1
PhageHostLearn	K30lambda2	2	2	2	0	0	0	0
PhageHostLearn	K32PH164C1	53	50	58	0	0	0	0
PhageHostLearn	K33PH14C2	19	4	6	0	0	0	0
PhageHostLearn	K34PH164	1	2	1	1	0	1	1
PhageHostLearn	K35PH164C3	19	15	15	0	0	0	0
PhageHostLearn	K39PH122C2	25	1	4	0	1	0	1
PhageHostLearn	K40PH129C1				0	0	0	0
PhageHostLearn	K43PH164C1	6	1	3	0	1	0	1
PhageHostLearn	K45PH128C2	44	21	24	0	0	0	0
PhageHostLearn	K46PH129	10	16	18	0	0	0	0
PhageHostLearn	K48PH164C1				0	0	0	0
PhageHostLearn	K49PH164C2	18	1	2	0	1	0	1
PhageHostLearn	K50PH164C1	1	2	1	1	0	1	1
PhageHostLearn	K51PH129C1	11	37	30	0	0	0	0
PhageHostLearn	K52PH129C1	5	1	1	0	1	1	1
PhageHostLearn	K53PH164C2				0	0	0	0
PhageHostLearn	K54lambda1	1	10	1	1	0	1	1
PhageHostLearn	K54lambda2	1	27	1	1	0	1	1
PhageHostLearn	K56PH164C1		4	5	0	0	0	0
PhageHostLearn	K57lambda1	1	1	1	1	1	1	1
PhageHostLearn	K58PH129C2	50	25	26	0	0	0	0
PhageHostLearn	K60PH164C1	1	1	1	1	1	1	1
PhageHostLearn	K61PH164C1	38	26	29	0	0	0	0
PhageHostLearn	K62PH164C2	1	22	12	1	0	0	1
PhageHostLearn	K63PH128	32	1	3	0	1	0	1
PhageHostLearn	K65PH164	3	1	3	0	1	0	1
PhageHostLearn	K66PH128C1		5	7	0	0	0	0
PhageHostLearn	K69PH164C2	7	4	6	0	0	0	0
PhageHostLearn	K6PH25C3	28	35	44	0	0	0	0
PhageHostLearn	K71PH129C1	36	36	36	0	0	0	0
PhageHostLearn	K72PH164C2				0	0	0	0
PhageHostLearn	K74PH129C2	1	34	4	1	0	0	1
PhageHostLearn	K7PH164C4	1	2	1	1	0	1	1
PhageHostLearn	K82P1	35	51	48	0	0	0	0
PhageHostLearn	K8PH128	1	8	1	1	0	1	1
PhageHostLearn	K9PH25C2	2	30	2	0	0	0	0
PhageHostLearn	M12a	2	66	2	0	0	0	0
PhageHostLearn	M5a	1	98	1	1	0	1	1
PhageHostLearn	M5b	46	17	24	0	0	0	0
PhageHostLearn	P4a	1	34	1	1	0	1	1
PhageHostLearn	P4b	1	34	1	1	0	1	1
PhageHostLearn	S10a	1	1	1	1	1	1	1
PhageHostLearn	S11a	1	1	1	1	1	1	1
PhageHostLearn	S13a	65	28	30	0	0	0	0
PhageHostLearn	S13b	101	47	50	0	0	0	0
PhageHostLearn	S13d	1	1	1	1	1	1	1
PhageHostLearn	S13f	4	28	30	0	0	0	0
PhageHostLearn	S6a	1	1	1	1	1	1	1
PhageHostLearn	S8a	2	19	20	0	0	0	0
PhageHostLearn	S8b	14	13	16	0	0	0	0
PhageHostLearn	S8c	4	1	4	0	1	0	1
PhageHostLearn	S9a	1	19	1	1	0	1	1
